id,name,nswrm,obj_id
1,buffer_293,buffer,"1557, 1558, 1559, 1560, 1561, 1567, 1673, 1674, 1678, 1758, 1759, 1760, 1761, 1762, 1763, 1764, 1779, 4026"
2,buffer_294,buffer,3171
3,buffer_295,buffer,"37, 38, 39, 41, 42, 43, 45, 47, 49, 50, 51, 52, 1795, 1798, 1800, 1801, 1802, 3748, 3749, 3750, 3751, 3752, 3753, 3754, 3781, 4050, 4051, 4052, 4053, 4054, 4541, 4543, 4546, 4547, 4548, 4549, 4550, 4555, 4590, 4592, 4594, 4599, 4601, 4602, 4608, 4620, 4621, 4622, 5825"
4,buffer_296,buffer,"1429, 1803, 1805, 1822, 3136, 3152, 3170, 3172, 3177, 3195, 3196, 3875, 4542, 4544, 4545, 4551, 4552, 4553, 4554"
5,buffer_297,buffer,"385, 387, 389, 567, 571, 572, 574, 575, 576, 598, 599, 600, 601, 3137, 3138, 3139, 3140, 3141, 3142, 3143, 3153, 3182, 3183, 3185, 3186"
6,buffer_298,buffer,1531
7,buffer_299,buffer,"1524, 1525, 1526, 1529, 1530, 1532, 5337, 5339, 5356, 5357, 5362"
8,buffer_300,buffer,"5338, 5355, 5358, 5374, 5381, 5383, 5392, 5393, 5395, 5399"
9,buffer_301,buffer,"1181, 1182, 1183, 1184, 1185, 1186, 1187, 1188, 1189, 1190, 1191, 1192, 1194, 1195, 1196, 1201"
10,buffer_302,buffer,"1039, 1040"
11,buffer_304,buffer,"996, 997, 2803, 2804, 2805, 2806, 2807, 2808"
12,buffer_305,buffer,"955, 980"
13,buffer_308,buffer,"5849, 5850, 5851, 5853, 5861, 5862"
14,buffer_310,buffer,"337, 340, 341, 342, 343, 364, 365, 366, 3492, 3493, 3499, 3500, 3501, 3502, 3503, 3504, 3506, 3536, 3538, 3582, 3583, 5852, 5854"
15,buffer_311,buffer,"338, 339, 360, 361, 362, 363, 419, 422, 427, 429, 3427, 3428, 3429, 3494, 3495, 3496, 3497, 3498, 3505, 3507, 3508, 3509, 3510, 3537, 5153, 5154, 5155, 5157, 5162, 5163, 5165, 5167, 5168, 5190, 5191, 5196, 5198, 5243, 5244"
16,buffer_312,buffer,"1088, 1090, 1095"
17,buffer_313,buffer,"1038, 1087, 1093, 1094, 3414, 3415, 3420, 4120, 4121, 4122, 4123, 4124, 4125, 4126, 4127, 4128, 4130, 4131, 4132, 4134, 5152, 5156, 5158"
18,buffer_315,buffer,"1089, 1096, 1097, 1104, 1105, 1106, 1118, 1119, 1120, 1121, 1193, 1241, 1242, 1244, 3333, 3334, 3335, 3336, 3337, 3338, 3339, 3340, 3341, 3342, 3343, 3344, 3345, 3346, 3347, 3348, 3349, 3350, 3351, 3352, 3353, 3354, 3355, 3356, 3357, 3358, 3359, 3360"
19,buffer_316,buffer,"3701, 3702, 5997, 5998, 5999, 6000, 6001, 6002, 6003, 6004, 6005"
20,buffer_317,buffer,"1243, 1245, 1248, 1249, 3402, 3403, 3404, 3405, 3406, 3407, 3408, 3409, 3410, 3411, 4092, 4093, 4094, 4095, 4096, 4102, 4103, 5391"
21,buffer_318,buffer,"3697, 3698, 3699, 3700, 3703, 3704, 3707, 3708, 3709, 4229, 4230, 5105"
22,buffer_319,buffer,"5177, 5207, 5218, 5219, 5221, 5222, 5764, 5765, 5766, 5767, 5768"
23,buffer_320,buffer,"4872, 4880, 4909, 4910, 4912, 4913, 4914, 4919, 4928"
24,buffer_321,buffer,"4864, 4865, 4866, 4908, 4911, 4915, 4931, 4937, 4938, 5018, 5019, 5046"
25,buffer_323,buffer,"2319, 2320, 2321, 2322, 2326, 2350, 2351, 3677, 3678, 3679, 3680, 4811, 4812, 4813, 4824, 4825, 4833, 4834, 4941, 4945, 4946, 4947, 4953, 4973, 4974, 4975, 4976, 4977, 4978, 4979, 4983, 4984, 4985, 4986, 4987, 4988, 4989, 5723"
26,buffer_324,buffer,"2406, 2407"
